Virtual machine,Languages,Comments,Interpreter,JIT,Implementation language,SLoC
Common Language Runtime (CLR),C#  C++/CLI  F#  VB.NET,bytecode is CIL; .NET Core Runtime on GitHub,[empty],[empty],C#  C++,[empty]
Adobe Flash Player (aka Tamarin),ActionScript  SWF (file format),interactive web authoring tool. bytecode is named "ActionScript Byte Code (.abc)",[empty],[empty],C++,135k (initially released)
Dis (Inferno),Limbo,Dis Virtual Machine Specification,[empty],[empty],C,15k + 2850 per JIT arch + 500 per host OS
DotGNU-Portable.NET,CLI languages including: C#,Common Language Runtime clone,[empty],[empty],C  C#,[empty]
Forth,Forth,Features are simplified  usually include assembler  compiler  text-level and binary-level interpreters  sometimes editor  debugger and OS. Compiling speeds are >20 SKLOC/S and behave much like JIT.,[empty],[empty],Forth  Forth Assembler,2.8K to 5.6K; advanced  professional implementations are smaller.
Glulx,Inform 6  Inform 7  others,[empty],[empty],[empty],Various implementations exist,[empty]
[added],[added],[added],[added],[added],[added],[added]
HHVM,PHP  Hack,Is an open-source virtual machine designed for executing programs written in Hack and PHP.,[empty],[empty],C++  OCaml,[empty]
Icon,Icon,Base source code provides both the interpreter as well as an unsupported compile-to-C version. The runtime code  that is shared between the compiler and the interpreter  is written in a variant of C called RTT.,[empty],[empty],C  RTT (a custom front-end to C  provided with the base source for Icon).,~180k total. (source to bytecode: ~11k  bytecode interpreter: ~46k  iconc: ~23k  common/headers: ~13k  rtt: ~15k)
JVM,Java  Kotlin  Jython  Groovy  JRuby  C  C++  Clojure  Scala and several others,Reference implementation by Sun ; OpenJDK: code under GPL ; IcedTea: code and tools under GPL,[empty],[empty],JDK  OpenJDK & IcedTea with regular JIT : Java  C  ASM ; IcedTea with the "Zero" JIT : Java  C,JVM is around 6500k lines; TCK is 80k tests and around 1000k lines
LLVM,C  C++  Kotlin  Objective-C  Ada  Fortran  and Rust,MSIL  C and C++ output are supported. ActionScript Byte Code output is supported by Adobe Alchemy. bytecode is named "LLVM Bytecode (.bc)". assembly is named "LLVM Assembly Language (*.ll)".,[empty],[empty],C++,811k <ref name="ohloh-llvm">The LLVM Compiler Infrastructure  ohloh.net  2011 Nov 30</ref>
Lua,Lua,[empty],[empty],LuaJIT,C,13k + 7k LuaJIT
MMIX,MMIXAL,[empty],[empty],[empty],[empty],[empty]
Mono,CLI languages including: C#  VB.NET  IronPython  IronRuby  and others,Common Language Runtime clone,[empty],[empty],C#  C,2332k
Oz,Oz  Alice,[empty],[empty],[empty],[empty],[empty]
NekoVM,currently Neko and Haxe,[empty],[empty],x86 only,C,46k
O-code machine,BCPL,[empty],[empty],[empty],[empty],[empty]
p-code machine,Pascal,UCSD Pascal  widespread in late 70s including Apple II,[empty],[empty],[empty],[empty]
Parrot,Perl (6 & 5)  NQP-rx  PIR  PASM  PBC  BASIC  bc  C99  ECMAScript  Lisp  Lua  m4  Tcl  WMLScript  XML  and others,[empty],[empty],[empty],C  Perl,111k C  240k Perl
Perl virtual machine,Perl,op-code tree walker,[empty],[empty],C  Perl,175k C  9k Perl
CPython,Python,[empty],[empty],Psyco,C,387k C  368k Python  10k ASM  31k Psyco
PyPy,Python,Self-hosting implementation of Python  next generation of Psyco,[empty],[empty],Python,[empty]
Rubinius,Ruby,Virtual machine for another Ruby implementation,[empty],[empty],C++  Ruby,[empty]
Silverlight,C#  VB.NET,A Micro-version of Microsoft .NET Framework to let applications run sandboxed inside browser,[empty],[empty],C++,7MB (initially released)
ScummVM,Scumm,Computer game engine,[empty],[empty],[empty],[empty]
SECD,ISWIM  Lispkit Lisp,[empty],[empty],[empty],[empty],[empty]
Squirrel,Squirrel,[empty],[empty],Squirrel_JIT,C++,12k
Smalltalk,Smalltalk,[empty],[empty],[empty],[empty],[empty]
SQLite,SQLite opcodes,Virtual database engine,[empty],[empty],[empty],[empty]
Squeak,Squeak Smalltalk,Self hosting implementation of Squeak virtual machine. Rich multi-media support.,[empty],[empty],Smalltalk/Slang,110k Smalltalk  ~300K C
TraceMonkey,JavaScript,Based on Tamarin,[empty],[empty],C++,173k
TrueType,TrueType,Font rendering engine,[empty],[empty],C (typically),[empty]
Valgrind,x86/x86-64 binaries,Checking of memory accesses and leaks under Linux,[empty],[empty],C,467k <ref name="ohloh-valgrind">Valgrind  ohloh.net  2011 Nov 30.</ref>
VisualWorks,Smalltalk,[empty],[empty],[empty],C,[empty]
Vx32 virtual machine,x86 binaries,Application-level virtualization for native code,[empty],[empty],[empty],[empty]
Waba,[empty],Virtual machine for small devices  similar to Java,[empty],[empty],[empty],[empty]
Yet Another Ruby VM (YARV),Ruby,Virtual machine of the reference implementation for Ruby 1.9 and newer versions,[empty],[empty],C,[empty]
Z-machine,Z-Code,[empty],[empty],[empty],[empty],[empty]
Zend Engine,PHP,[empty],[empty],[empty],C,75k
