Client name,Platform,License,WebDAV ACL editor,Discovery of other user’s collections,ICalendar events,ICalendar tasks,ICalerdar journals,ICalendar VAVAILABILITY (RFC 7953),CalDAV Scheduling,CardDAV,vCard Synchronization,User interface,Online store,.well-known URLs,[http://www.calconnect.org/pubdocs/CD0903%20Freebusy%20Read%20URL.pdf FBURL],[[SRV record|<span title='RFC 6764 “Locating Services for Calendaring Extensions to WebDAV (CalDAV) and vCard Extensions to WebDAV (CardDAV)”'>DNS SRV]],handles home-sets
AgenDAV<ref>AgenDAV project home</ref>,Cross-platform JavaScript Web browser,[empty],limited,[empty],[empty],[empty],[empty],[empty],Does not arrange meetings with participants,[empty],out of scope,AgenDAV's fullcalendar.io,[empty],The used server is fixed in the configuration file,Does not arrange meetings with participants,the caldav-server settings need to be fixed in AgenDAV’s configuration file,[empty]
Cadaver<ref>Cadaver home</ref>,Command-line,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
aCal<ref></ref>,Android,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],aCal,[empty],[empty],[empty],[empty],[empty]
AndroidCaldavSyncAdapater<ref></ref>,Android,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],out of scope,Android,[empty],[empty],Out of scope,[empty],[empty]
CalDavZAP<ref>CalDavZAP</ref>,Cross-platform JavaScript Web browser,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Does not arrange meetings with participants,[empty],out of scope,CalDavZAP,[empty],The used server is fixed in the configuration file,Does not arrange meetings with participants,The used server is fixed in the configuration file,[empty]
CardDavMATE<ref>CardDavMATE</ref>,Cross-platform JavaScript Web browser,[empty],[empty],[empty],out of scope,out of scope,out of scope,out of scope,out of scope,vCard 3.0 only,[empty],CardDavMATE,[empty],The used server is fixed in the configuration file,Out of scope,The used server is fixed in the configuration file,[empty]
InfCloud (CalDavZAP+CardDavMATE)<ref>InfCloud (integrated version of CalDavZAP and CardDavMATE)</ref>,Cross-platform JavaScript Web browser,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Does not arrange meetings with participants,vCard 3.0 only,[empty],InfCloud,[empty],The used server is fixed in the configuration file,Does not arrange meetings with participants,The used server is fixed in the configuration file,[empty]
Chandler Desktop<ref>Chandler Project </ref>,Cross-platform Python,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DAVx⁵<ref>DAVx⁵ website</ref>,Android,[empty],[empty],[empty],[empty],[empty],[empty],Out of scope,[empty],[empty],Server always wins,Android  OpenTasks,[empty],[empty],Out of scope,[empty],[empty]
jqCalDAV<ref>jqCalDAV project home</ref>,Cross-platform JavaScript Web browser,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
KCardDAV<ref>KCardDAV project home</ref> (discontinued),Cross-platform Kontact add-on,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
KOrganizer  KAddressBook  Kontact,Unix-KDE,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],KOrganizer,[empty],[empty],[empty],[empty],[empty]
Lightning<ref>Lightning - Project Home</ref>,Cross-platform Thunderbird Add-on,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Out of scope,Lightning,[empty],[empty],[empty],[empty],probably not
CardBook<ref>CardBook source</ref>,Cross-platform Thunderbird Add-on,[empty],[empty],[empty],Out of scope,Out of scope,Out of scope,Out of scope,Out of scope,vCard 3.0 and vCard 4.0,[empty],CardBook,Mozilla Add-ons (ATN),[empty],Out of scope,[empty],partial
MineTime<ref>MineTime features</ref>,Cross-platform,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],MineTime,minetime.ai,[empty],[empty],[empty]
Mulberry<ref>Mulberry client configuration</ref>,Cross-platform,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Outlook CalDav Synchronizer<ref>Outlook CalDav Synchronizer website</ref>,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Outlook,[empty],[empty],[empty],[empty],[empty]
pyCardDAV<ref>pyCardDAV project home</ref>,Cross-platform Python,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
The Bat!<ref>The Bat! - Features</ref>,Windows,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],The Bat!,[empty],[empty],[empty],[empty],[empty]
Inverse SOGo Connector-Integrator<ref>SOGo Overview</ref>,Cross-platform Thunderbird Add-on,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Mozilla,[empty],[empty],[empty],[empty],[empty]
Evolution,Cross-platform,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],vCard 3.0 only,[empty],Evolution,[empty],[empty],if the URL does not require authentication,[empty],[empty]
ReminderFox<ref>ReminderFox project home</ref>,Cross-platform Firefox,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],ReminderFox,[empty],[empty],[empty],[empty],[empty]
