Esperanto,Ido,English,French,German,Italian,Spanish,Portuguese
bubalo,bufalo,buffalo,buffle,Büffel,bufalo,búfalo,búfalo
ĉelo,celulo,cell,cellule,Zelle,cellula,célula,célula
ĉirkaŭ,cirkum,around/circa,autour de,ungefähr/circa,circa,alrededor  cerca,ao redor de  em volta de
dediĉi,dedikar,to dedicate,dédier,widmen,dedicare,dedicar,dedicar
edzo,spoz(ul)o,husband/spouse,époux,Ehemann,sposo,esposo,esposo/marido
elasta,elastika,elastic,élastique,elastisch,elastico,elástico,elástico
estonteco,futuro,future,futur,Zukunft,futuro,futuro,futuro
kaj,e(d),and,et,und,e(d),y/e,e
lernejo,skolo,school,école,Schule,scuola,escuela,escola
limo,limito,limit,limite,Limit,limite,límite,limite
maĉi,mastikar,to chew/masticate,mâcher,kauen,masticare,masticar,mastigar
mencii,mencionar,to mention,mentionner,erwähnen,menzionare,mencionar,mencionar
nacio,naciono,nation,nation,Nation,nazione,nación,nação
penti,repentar,to repent,repentir,bereuen,pentirsi,arrepentirse,arrepender-se
ŝipo,navo,boat/ship,bateau/navire,Schiff,barca/nave,barco/nave/navío,bote/barca/barco/nave/nau/navio
taĉmento,detachmento,detachment,détachement,Abteilung,distaccamento,destacamento,destacamento
vipuro,vipero,viper,vipère,Viper,vipera,víbora,víbora
