Styles,Origin,Derived From,Balance of hard and soft techniques,Stances,Representative Kata,No. of kata
Chitō-ryū,Okinawa,Shōrei-ryū or Naha-te  Shōrin-ryū,both elements exist but more soft than hard,natural stride (Seisan dachi),Shi Ho Hai  Seisan  Ro Hai Sho  Niseishi  Bassai  Chinto  Sochin  Tenshin  Ro Hai Dai  Sanshiryu  Ryushan  Kusanku  Sanchin,15 kata not including kihon and Bo kihon/kata
Gōjū-ryū,Okinawa,Fujian White Crane and Naha-te.,both,deep/natural,Sanchin  Tensho  Gekisai Dai/Sho  Seipai  Saifa  Suparinpei,12
Gosoku-ryū,Japan,Gōjū-ryū  Shotokan,50 percent hard  50 percent soft techniques,deep (beginner)  natural (advanced),Gosoku  Rikyu  Denko Getsu  Tamashi,46 including weapons kata
Isshin-ryū,Okinawa,Gōjū-ryū  Shōrin-ryū  Kobudō,both  primarily hard,natural,Sunsu,15 including weapons kata
Kyokushin,Japan,Shotokan  Gōjū-ryū,Extremely hard,natural,Taikyoku  Pinan  Kanku  Sanchin  Tensho  Garyu,23 (+ ura)
Shūkōkai,Japan,Gōjū-ryū & Shitō-ryū,60% hard and 40% soft techniques,natural,Pinan  Bassai Dai  Seienchin  Saifa  Rōhai,44 +
Shindō jinen-ryū,Japan and Okinawa,primarily Shuri-te like Shitō-ryū  but also Naha-te and Tomari-te,both,deep/natural,Shimpa  Taisabaki 1-3  Sunakake no Kon,More than 60 counting all kobudo kata
Shitō-ryū,Japan and Okinawa,Shuri-te and Naha-te,both,deep/natural,Pinan  Bassai Dai  Seienchin  Saifa  Rōhai  Nipaipo,94
Shōrin-ryū,Okinawa,Shuri-te  Tomari-te  Chinese martial arts,both  primarily fast and soft,natural,Fukyu  Pinan  Naihanchi  passai  kanku  seisan,21
Shotokan,Japan and Okinawa,Shōrin-ryū and Shōrei-ryū,70% hard techniques and 30% soft/ fast techniques,deep (beginner)  longer (advanced),3 Taikyoku  5 Heian  3 Tekki  Jion  Kanku Dai  Bassai Dai  Empi  Sochin  etc.,26 + additional
Shuri-ryū,Okinawa,Shuri-te  Hsing-yi,both,deep/natural,Wunsu  O-Naihanchi  Sanchin,15
Uechi-ryū,Okinawa,Pangai-noon Kung Fu  Naha-te,half hard  half soft,mainly natural,Sanchin  Seisan  Sanseirui,8
Wadō-ryū,Japan and Okinawa,Shindō Yōshin-ryū Jujutsu  Tomari-te and Shotokan,both  primarily soft,mainly natural,Pinan  Kushanku  Seishan  Chintō  Naihanchi  Jion  Wanshu  Jitte and Niseishi<ref></ref>,15 (one hidden)
Yōshūkai,Japan and Okinawa,Chitō-ryū,60 percent hard  40 percent soft techniques,deep (beginner)  natural (advanced),Seisan  Sochin  Tenshin  Bassai (core katas),18
