Program,search (criteria),selection (styles),metadata,adjust image (functions),hotkeys,color management (ICC),JPEG Lossless operations,Unicode support,other / special
ACDSee,[empty],individual  linear  block,Exif  IPTC,many,[empty],[empty],rotation only,[empty],GPS Location  Scripts for batch/pre processing  automatic slideshow
CDisplay,[empty],[empty],[empty],Rotate  Filter,configurable,[empty],[empty],[empty],Slider  automatic slideshow  mouse control
Comix,[empty],[empty],[empty],Rotate  Filter,[empty],[empty],[empty],[empty],Slider  automatic slideshow  mouse control
digiKam,file name  comments  most Exif and meta data,linear  block  complex,Exif and IPTC,many editing function,[empty],[empty],in 90° steps,[empty],Geotagging  batch processing  detect duplicate/similar images  export to Internet/social media/HTML
Eye of gnome,[empty],[empty],[empty],Rotate,unconfigurable,[empty],[empty],[empty],[empty]
F-Spot,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Export to HTML  Flickr  or O.r.i.g.i.n.a.l.
FastPictureViewer,Filter the view by rating  file name...,Copy  move  delete  rate  label,Write XMP Rating/Label  IPTC metadata  Windows Rating  embedded or in sidecar files  shows shooting info (Exif) and realtime RGB histogram,[empty],[empty],(supports custom monitor profile  direct conversion from image colorspace to monitor colorspace  ICC v4),n/a,, native,Native 32 and 64-bit  Tethered shooting (MTP/PTP over USB)  Multicore-aware  DirectX accelerated  HD Photo / JPEG XR support.
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Gonvisor,[empty],Delete  rename,[empty],[empty],[empty],[empty],n/a,, native,Made to easily read comics or manga can display two pages at time and view images in compressed ZIP  RAR  7z  cbr  cba  cbz etc.
FastStone Image Viewer,[empty],individual  linear,JPEG comment,many,[empty],[empty],lossless transitions,[empty],full screen mode with all commands available via pop-up menu bars when aproaching the mouse from the borders of the screen
Geeqie,collections  keywords  filename  location  size  date  dimensions  comments  previous results,block  linear  complex,[empty],rotate  brightness  contrast,[empty],[empty],[empty],[empty],find duplicates  sort manager  recent collections
gThumb,name  comment  date  category  folder  recursive-folder,linear  block  complex,[empty],manipulate color  flip/rotate  etc.,[empty],[empty],[empty],[empty],bookmarks  comments  rename series  create index image  create HTML album
Gwenview,tags,[empty],Exif  IPTC  XMP,Rotate  Red eye removal  saturation  color balance  levels and more,[empty],[empty],[empty],[empty],batch processing  export to Internet/social media/HTML
KPhotoAlbum,keywords  comments  title  any field from Exif metadata,linear  complex,[empty],per KIPI plugins,configurable,[empty],[empty],[empty],Quick-tagging using keyboard tokens
Phase One Media Pro,name  date  rating  file size  and many more.,individual  linear,EXIF  IPTC  and custom keywords,Rotate  Red eye removal  saturation  color balance  levels and more,[empty],[empty],[empty],[empty],Find duplicates  hierarchical keywords  distributable catalog with free Media Pro reader  offline browsing of images
Picasa,name  date  rating  faces,individual  linear,Keywords,basic,[empty],[empty],rotation only,[empty],collages  Geotagging  Search for Faces  find duplicates
ResourceSpace,[empty],[empty],Exif  IPTC  user defined,rotate  gamma,[empty],[empty],[empty],[empty],[empty]
Shotwell,[empty],individual  linear  hide,Read IPTC  Exif  XMP,Exposure  Saturation  Tint  Shadows  Temperature  and more,[empty],[empty],[empty],[empty],Non-destructive editor  Auto Enhance Images  Duplicate  Upload  Favorite
Simple Comic,[empty],[empty],[empty],<br />rotate,[empty],[empty],[empty],[empty],capture page  remove page  set icon
STDU Viewer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Windows Photo Viewer,[empty],[empty],[empty],rotate  lossless JPEG rotate  annotate TIFF images,[empty],[empty],rotate only,[empty],[empty]
XnView and XnViewMP,name  date  file size  image size  meta data  ...,individual  linear,IPTC  Exif  JPEG comment,many,configurable,Custom monitor profile supported,[empty],Supported in XnViewMP,Supports Adobe Photoshop Filter 8BF plugins
xv,[empty],individual  all,view comments,many,[empty],[empty],[empty],[empty],[empty]
Zoner Photo Studio,name  date  file size  meta data,individual  linear,IPTC  Exif  XMP  JPEG comment,very many,configurable,[empty],[empty],[empty],sign images  16 bits per channel  GPS support  merge pictures to HDR  WIC codecs support
Program,search (criteria),selection (styles),metadata,adjust image (functions),hotkeys,color management (ICC),JPEG Lossless operations,Unicode support,other / special
