Name,Drawing atop text [unclear],Text box  flow diagram [unclear],Text and paragraph formatting,Insert hyperlink [unclear],Insert image,Resize image,Insert table,Insert audio,Insert video,Insert SWF,Attachment [unclear],Other objects,Remarks / other features
AllMyNotes Organizer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Alarms  check-boxes  bullets  phones  advanced links  autosaving; last cursor position memory passwords on tree folders failure-resistant self-healing DB engine,[empty]
BasKet Note Pads,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],tags (check boxes  etc.),Adding  managing notes by category  autosave
Cherrytree,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CintaNotes,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],Links to notes,Tagging and searching for tags  tag hierarchy
ConnectedText,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],Scripting of pages with Python and other scripting languages.,LaTex  Scripts  RSS Feeds  Transclusion  Directed Graphs and Flowcharts by GraphViz  many other features.
Day One,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],tags  bullets  numbering  line  programming code snippets,editable note metadata (date/time  location  weather  motion activity  music playing  step count)
Org-mode (Emacs),[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],Advanced linking  bullets  tags  checkboxes  full spreadsheet  embedding of programming code  formulas  markup,Major mode of Emacs; uses plain-text; includes ToDos  spreadsheet  deadlines  encryption  reminders  agenda  calendar
Evernote,[empty],[empty],[empty],[empty],[empty],(at least Microsoft Windows version (06/2016)),[empty],[empty],[empty],[empty],[empty],Check-box  line  tags,Business and personal notes integrated in same client; businesses have control over business notes  but cannot see personal notes
Gnote,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Port of Tomboy to C++; wiki-style linked notes
Google Keep,[empty],[empty],[empty],[empty],[empty],?,<ref group="Notes">Lists only  with check-box facility.</ref>,[empty],[empty],[empty],[empty],Google Calendar reminders,Notes can be shared with other Google Keep users.
